Disease	Atrial fibrillation	Rank_Atrial fibrillation
HG01398	3.5812	0.8103
HG01402	2.2922	0.6354
HG01403	2.6156	0.6925
HG01405	2.5234	0.6813
HG01412	2.9125	0.7356
HG01413	1.4785	0.4261
HG01414	2.3294	0.6458
HG01431	0.7619	0.0907
HG01432	1.0624	0.2492
HG01435	12.595	0.986
HG01437	0.9093	0.1761
HG01438	2.1654	0.6074
HG01440	10.5761	0.9784
HG01441	1.9018	0.5523
HG01443	1.7307	0.508
HG01444	0.7283	0.0755
HG01447	3.1782	0.7732
HG01455	3.497	0.8039
HG01456	6.0086	0.9237
HG01459	2.4478	0.6697
HG01461	1.0263	0.234
HG01462	6.0237	0.9245
HG01464	3.5956	0.8111
HG01465	0.9937	0.2141
HG01468	3.2288	0.7788
HG01474	2.4361	0.6681
HG01479	1.7787	0.5228
HG01485	1.0047	0.2204
HG01486	5.4347	0.9042
HG01488	2.9227	0.7364
HG01489	1.3842	0.3894
HG01491	1.1096	0.272
HG01492	11.6709	0.9828
HG01494	0.779	0.0994
HG01495	6.1251	0.9277
HG01497	2.2045	0.6166
HG01498	2.5759	0.6873
HG01500	1.1746	0.3019
HG01501	1.3809	0.3878
HG01503	0.9804	0.2053
HG01504	1.5094	0.4389
HG01506	2.677	0.7009
HG01507	1.6736	0.4908
HG01509	0.8354	0.129
HG01510	1.5443	0.4493
HG01512	0.9442	0.1909
HG01513	1.4865	0.4293
HG01515	0.8801	0.1597
HG01516	0.977	0.2037
HG01518	1.3675	0.381
HG01519	3.627	0.8139
HG01521	0.865	0.1506
HG01522	0.8339	0.1282
HG01524	2.401	0.6601
HG01525	8.3178	0.9625
HG01527	1.1541	0.2947
HG01528	1.1126	0.2744
HG01530	3.3855	0.7955
HG01531	6.9157	0.9433
HG01536	1.2863	0.349
HG01537	2.2835	0.6346
HG01550	7.0788	0.9457
HG01551	1.6217	0.4724
HG01556	1.4953	0.4321
HG01565	1.3196	0.3634
HG01566	3.0526	0.7544
HG01571	3.3868	0.7959
HG01572	7.5165	0.9501
HG01577	1.9242	0.5579
HG01578	2.8329	0.7236
HG01583	1.5748	0.4609
HG01586	4.4571	0.861
HG01589	1.2811	0.347
HG01593	1.0384	0.2388
HG01595	1.7312	0.5088
HG01596	1.5182	0.4413
HG01597	5.0028	0.8894
HG01598	1.3985	0.3962
HG01599	2.7762	0.7153
HG01600	1.6487	0.4804
HG01602	0.8893	0.1641
HG01603	1.2556	0.3383
HG01605	1.0977	0.2664
HG01606	7.9343	0.9573
HG01607	2.3591	0.6554
HG01608	4.5091	0.8642
HG01610	4.0662	0.8391
HG01612	3.0126	0.746
HG01613	1.3182	0.3626
HG01615	0.9901	0.2113
HG01617	4.4478	0.8602
HG01618	0.7288	0.0767
HG01619	2.4663	0.6725
HG01620	3.1065	0.7624
HG01623	4.7086	0.8766
HG01624	4.4327	0.8594
HG01625	2.3705	0.6558
HG01626	3.4137	0.7975
HG01628	1.0718	0.252
HG01630	0.8185	0.119
HG01631	8.6081	0.9657
HG01632	1.1337	0.2851
HG01668	1.8957	0.5511
HG01669	2.1204	0.5986
HG01670	2.6472	0.6977
HG01672	0.7215	0.0727
HG01673	5.8703	0.9197
HG01675	2.5254	0.6817
HG01676	1.3793	0.3874
HG01678	1.7582	0.516
HG01679	3.4525	0.7999
HG01680	7.6921	0.9529
HG01682	1.8397	0.5367
HG01684	1.3481	0.375
HG01685	3.2362	0.78
HG01686	2.1342	0.6026
HG01694	3.3185	0.7895
HG01695	4.7588	0.8782
HG01697	0.9331	0.1853
HG01699	2.6443	0.6969
HG01700	0.9356	0.1861
HG01702	1.6154	0.4692
HG01704	1.432	0.4113
HG01705	2.5777	0.6881
HG01707	1.124	0.2804
HG01708	1.4808	0.4269
HG01709	2.8151	0.7228
HG01710	1.1867	0.3071
HG01746	4.9101	0.8862
HG01747	1.0768	0.2544
HG01756	0.6217	0.0383
HG01757	3.8702	0.8283
HG01761	2.2171	0.6194
HG01762	1.191	0.3091
HG01765	0.9069	0.1737
HG01766	2.2278	0.621
HG01767	0.8363	0.1298
HG01768	2.3521	0.6522
HG01770	1.3889	0.391
HG01771	1.7155	0.5012
HG01773	1.8684	0.5423
HG01775	4.0499	0.8379
HG01776	1.7272	0.5068
HG01777	0.9492	0.1941
HG01779	1.1917	0.3099
HG01781	0.7081	0.0651
HG01783	3.1718	0.772
HG01784	1.7188	0.5032
HG01785	1.474	0.4249
HG01786	1.1419	0.2891
HG01789	0.7332	0.0795
HG01790	0.8905	0.1657
HG01791	7.0378	0.9449
HG01794	2.727	0.7077
HG01795	1.4391	0.4129
HG01796	12.8713	0.9876
HG01797	0.9807	0.2061
HG01798	1.193	0.3107
HG01799	3.7483	0.8199
HG01800	0.8618	0.149
HG01801	14.9573	0.9936
HG01802	4.6534	0.8722
HG01804	1.57	0.4581
HG01805	1.3984	0.3958
HG01806	1.3918	0.3914
HG01807	1.588	0.4637
HG01808	12.0444	0.9844
HG01809	4.1268	0.8435
HG01810	6.9992	0.9437
HG01811	7.1721	0.9465
HG01812	2.6018	0.6913
HG01813	3.0876	0.7592
HG01815	2.7541	0.7117
HG01816	7.8656	0.9565
HG01817	3.7879	0.8235
HG01840	11.1273	0.9804
HG01841	1.3425	0.3746
HG01842	2.6794	0.7017
HG01843	2.798	0.7204
HG01844	4.8163	0.881
HG01845	1.3745	0.3842
HG01846	2.876	0.7296
HG01847	8.2722	0.9617
HG01848	1.4033	0.397
HG01849	2.9973	0.744
HG01850	3.0012	0.7448
HG01851	6.1282	0.9281
HG01852	4.0898	0.8403
HG01853	4.4571	0.861
HG01855	2.8011	0.7212
HG01857	3.2973	0.7879
HG01858	10.0202	0.974
HG01859	2.3542	0.6534
HG01860	6.3968	0.9349
HG01861	3.4615	0.8011
HG01862	9.0594	0.9681
HG01863	14.6406	0.9924
HG01864	2.9997	0.7444
HG01865	3.4435	0.7995
HG01866	4.871	0.8838
HG01867	4.2922	0.8526
HG01868	2.7202	0.7061
HG01869	2.6321	0.6949
HG01870	6.6333	0.9385
HG01871	2.8731	0.7292
HG01872	1.3135	0.359
HG01873	5.1872	0.8954
HG01874	8.1466	0.9605
HG01878	1.9939	0.5739
HG01879	1.7372	0.5116
HG01880	5.4103	0.903
HG01882	0.5061	0.0084
HG01883	0.9304	0.1837
HG01885	1.2785	0.3458
HG01886	2.0886	0.595
HG01889	0.7527	0.0859
HG01890	0.8036	0.1122
HG01892	2.5264	0.6821
HG01893	0.8507	0.1402
HG01894	1.1344	0.2859
HG01896	1.6364	0.4764
HG01912	1.2074	0.3175
HG01914	1.884	0.5475
HG01915	0.7657	0.0931
HG01917	8.2014	0.9613
